regional,eron
CENTRAL,COMPLEJO CARCELARIO Y PENITENCIARIO BOGOTA-PICOTA
CENTRAL,CPAMS EL BARNE
CENTRAL,CPAMSEJAPI
CENTRAL,CPAMSEJART
CENTRAL,CPAMSEJEYO
CENTRAL,CPAMSM - BUEN PASTOR
CENTRAL,CPMMSF FACATATIVA
CENTRAL,CPMS ACACIAS-PENITENCIARIA
CENTRAL,CPMS BOGOTA - MODELO
CENTRAL,CPMS CHIQUINQUIRA
CENTRAL,CPMS CHOCONTA
CENTRAL,CPMS ESPINAL
CENTRAL,CPMS FLORENCIA
CENTRAL,CPMS FUSAGASUGA
CENTRAL,CPMS GACHETA
CENTRAL,CPMS GUAMO
CENTRAL,CPMS LA MESA
CENTRAL,CPMS LA PLATA
CENTRAL,CPMS MELGAR
CENTRAL,CPMS MONIQUIRA
CENTRAL,CPMS PAZ DE ARIPORO
CENTRAL,CPMS RAMIRIQUI
CENTRAL,CPMS TUNJA
CENTRAL,CPMS UBATE
CENTRAL,CPMS VILLAVICENCIO
CENTRAL,CPMS VILLETA
CENTRAL,CPMS YOPAL
CENTRAL,CPOMS ACACIAS
CENTRAL,EJECO
CENTRAL,EJEPO
CENTRAL,EPMSC CAQUEZA
CENTRAL,EPMSC CHAPARRAL
CENTRAL,EPMSC DUITAMA
CENTRAL,EPMSC GIRARDOT
CENTRAL,EPMSC GRANADA
CENTRAL,EPMSC GUATEQUE
CENTRAL,EPMSC LETICIA
CENTRAL,EPMSC NEIVA
CENTRAL,EPMSC PITALITO
CENTRAL,EPMSC SANTA ROSA DE VITERBO (JYP-MUJERES)
CENTRAL,EPMSC SOGAMOSO
CENTRAL,GARZON
CENTRAL,PMS LA ESPERANZA DE GUADUAS
CENTRAL,PMS LAS HELICONIAS DE FLORENCIA
NOROESTE,COMPLEJO CARCELARIO Y PENITENCIARIO PEDREGAL
NOROESTE,CPAMS LA PAZ
NOROESTE,CPAMSEJEBE
NOROESTE,CPMS APARTADO
NOROESTE,CPMS BELLO
NOROESTE,CPMS JERICO
NOROESTE,CPMS PUERTO TRIUNFO
NOROESTE,CPMS SANTO DOMINGO
NOROESTE,EPMSC ANDES
NOROESTE,EPMSC BOLIVAR-ANTIOQUIA
NOROESTE,EPMSC CAUCASIA
NOROESTE,EPMSC ISTMINA
NOROESTE,EPMSC LA CEJA
NOROESTE,EPMSC PUERTO BERRIO
NOROESTE,EPMSC QUIBDO
NOROESTE,EPMSC SANTA BARBARA
NOROESTE,EPMSC SANTA ROSA DE OSOS
NOROESTE,EPMSC SONSON
NOROESTE,EPMSC TAMESIS
NOROESTE,EPMSC YARUMAL
NORTE,CMS BARRANQUILLA
NORTE,CPAMS VALLEDUPAR -TRAMACUA
NORTE,CPAMSEJUPA
NORTE,CPMS CARTAGENA
NORTE,CPMS MAGANGUE
NORTE,CPMS MONTERIA
NORTE,CPMS RIOHACHA
NORTE,CPMS SINCELEJO
NORTE,CPMS TIERRALTA
NORTE,EPMSC BARRANQUILLA MODELO
NORTE,EPMSC EL BANCO
NORTE,EPMSC SAN ANDRES
NORTE,EPMSC SANTA MARTA
NORTE,EPMSC VALLEDUPAR-JUDICIAL
